iter	RMSE
0	4324.57449
1	4050.778326
2	3809.355345
3	3587.96602
4	3402.851036
5	3234.121568
6	3086.590783
7	2959.103274
8	2844.250026
9	2742.008727
10	2651.968923
11	2575.778889
12	2507.176301
13	2449.064584
14	2397.072963
15	2351.104873
16	2309.875116
17	2274.088607
18	2242.978441
19	2212.126589
20	2178.31494
21	2154.661598
22	2126.706304
23	2106.487168
24	2085.499677
25	2067.872232
26	2052.906258
27	2039.280848
28	2023.741965
29	2009.85091
30	1997.196444
31	1985.695204
32	1974.656361
33	1966.078727
34	1957.500923
35	1949.209266
36	1941.848628
37	1933.577963
38	1926.330085
39	1919.856978
40	1914.343392
41	1907.797898
42	1901.358957
43	1896.475665
44	1890.931603
45	1887.194294
46	1882.708961
47	1876.14984
48	1872.192252
49	1868.99292
50	1864.594002
51	1860.521058
52	1857.616151
53	1854.311976
54	1851.29165
55	1848.689091
56	1846.004391
57	1842.959889
58	1839.812607
59	1835.881291
60	1833.560372
61	1831.614709
62	1826.901071
63	1824.722155
64	1821.954303
65	1820.365189
66	1818.525011
67	1816.776964
68	1813.260638
69	1810.445016
70	1808.291219
71	1806.460774
72	1804.748576
73	1801.496024
74	1799.000464
75	1796.805407
76	1795.573793
77	1793.900737
78	1791.35511
79	1790.137956
80	1788.623644
81	1786.836548
82	1784.92157
83	1783.658138
84	1781.314853
85	1780.280645
86	1778.872356
87	1777.801439
88	1775.839656
89	1774.823399
90	1772.522224
91	1770.89632
92	1769.664397
93	1767.940713
94	1766.375215
95	1765.02975
96	1763.94685
97	1762.62686
98	1760.984183
99	1759.968872
100	1757.977495
101	1757.031675
102	1755.454253
103	1753.782481
104	1752.952561
105	1751.913856
106	1751.055453
107	1750.073363
108	1747.943445
109	1746.429432
110	1745.485897
111	1744.617239
112	1743.53137
113	1742.017057
114	1741.290181
115	1740.432363
116	1738.297597
117	1737.223121
118	1735.986333
119	1734.400728
120	1733.161436
121	1731.865971
122	1730.532368
123	1729.24595
124	1728.502897
125	1727.466961
126	1726.064749
127	1725.195972
128	1724.469472
129	1723.786287
130	1723.04565
131	1721.805213
132	1720.632047
133	1719.944029
134	1718.728622
135	1718.034224
136	1716.758928
137	1715.371349
138	1714.24258
139	1713.690859
140	1712.829805
141	1711.668088
142	1710.796415
143	1710.020638
144	1708.943359
145	1708.133913
146	1707.249907
147	1706.465052
148	1705.38718
149	1704.650012
150	1703.984836
151	1703.169201
152	1702.417407
153	1701.878722
154	1701.069373
155	1700.297759
156	1699.693749
157	1698.874385
158	1698.119692
159	1697.156202
160	1696.273537
161	1695.479545
162	1694.846946
163	1694.153882
164	1693.439077
165	1692.868098
166	1692.195955
167	1691.025844
168	1690.422768
169	1689.817903
170	1688.965282
171	1688.484874
172	1687.692989
173	1687.241967
174	1686.437892
175	1685.936138
176	1685.354575
177	1684.504781
178	1683.769061
179	1683.354785
180	1682.727465
181	1681.855493
182	1681.227187
183	1680.516751
184	1679.89228
185	1679.015295
186	1678.450079
187	1677.986643
188	1677.221982
189	1676.5891
190	1676.012296
191	1675.729818
192	1675.329509
193	1674.45491
194	1673.941825
195	1673.469379
196	1672.882394
197	1672.34146
198	1671.897485
199	1671.191695
200	1670.387429
201	1669.841657
202	1669.380992
203	1668.278051
204	1667.840396
205	1667.406116
206	1666.813509
207	1666.507285
208	1665.838425
209	1665.402931
210	1664.708224
211	1664.262504
212	1663.753359
213	1663.079424
214	1662.592209
215	1662.225807
216	1661.694836
217	1660.883671
